,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
13x10,5.9795136,-2.276691,-7.8722243,-2.9109125,1.7666739,-9.128634,-1.0205454,11.379419,-5.050644,8.826991,0.2211994,2.9904919,0.01622212,-4.0559645,-2.9345436,4.960457,-6.5716143,-3.6099854,-0.779382,-3.6594152,13.310223,-10.81153,-5.260889,-2.6835651,-5.2395544,6.4834776,0.85736465,8.6354885,2.7869682,-2.562892
13x11,6.7117176,-0.96554303,-9.013928,-2.9441385,2.0390217,-8.406986,-0.40671563,11.071248,-4.9400206,8.852325,1.2866015,3.7099204,0.023088813,-4.0503035,-2.4882307,5.3849745,-6.7375274,-3.9105442,-1.5602052,-4.2385635,12.711506,-10.304978,-5.345476,-3.3118343,-5.6062193,6.852518,0.55995846,8.935726,2.5781379,-2.419278
13x13,7.3004365,-1.7974582,-8.599097,-3.2140074,0.4808557,-5.5548267,2.7123108,10.963338,-5.8785124,10.449301,2.9807796,4.7938776,0.4591388,-3.6143236,-2.5191388,5.2389317,-7.2689896,-1.1295257,-1.975753,-5.532942,12.890148,-10.101239,-5.6495786,-3.9178293,-4.095866,6.050839,0.6605817,7.9604893,3.2002482,-2.7818344
13x14,6.839947,-1.5299646,-8.64331,-3.2551584,0.09837985,-5.545409,2.4051254,11.796161,-5.4615993,11.853392,2.8187752,5.2795296,-0.12646043,-3.1467333,-2.648725,4.3914433,-8.742662,-1.0043818,-2.1719196,-5.4558306,11.920043,-9.516353,-5.2540393,-3.7856023,-3.9908862,5.919295,0.63791513,8.391049,3.7449381,-3.2262392
13x15,5.969369,-1.8620644,-7.9749646,-3.1606379,0.2957449,-5.981487,1.9565711,11.554588,-5.314987,12.579107,1.4173663,5.0583267,-0.23697561,-2.9283817,-3.4921288,4.093508,-9.280638,-0.7125413,-2.1745543,-5.549972,11.381529,-9.524302,-5.6524143,-3.3255696,-3.6662512,5.5119324,0.3511969,7.5938416,3.6375222,-3.429734
13x16,5.4088783,-2.1589246,-8.443575,-2.9412231,0.6591103,-6.860669,1.5688194,11.426056,-5.027115,13.091929,1.1977848,5.405589,-1.2141548,-2.6726851,-3.7638674,3.677589,-9.788487,-0.84744877,-2.6358223,-4.972293,11.251357,-9.598613,-5.8254895,-3.0546389,-4.0650067,5.1913733,0.04026735,6.7482495,3.5171976,-3.3135142
13x17,5.4992266,-1.9099386,-7.845909,-3.7070913,1.013104,-6.986765,1.5047019,10.290455,-5.4585934,13.018058,0.8881025,5.8449173,-1.4764676,-2.930162,-3.2020512,4.4164133,-9.531492,-1.6114383,-2.9188151,-5.014512,11.57249,-10.451058,-6.1762543,-2.1026502,-3.8816228,5.0940456,-0.29872,6.9707203,3.7331994,-2.845995
13x19,8.327369,-1.9020456,-6.3956556,-4.6638346,2.1856914,-6.6553817,1.4761248,9.990464,-6.167178,11.018312,2.1950989,5.2782555,-1.7329295,-3.4132047,-2.785962,4.662513,-8.506767,-2.6628804,-3.067128,-4.5276747,13.916233,-10.344331,-6.9034896,-0.68840563,-3.8131824,5.3510876,1.1923486,8.821628,4.456702,-2.15381
13x2,8.1033325,-1.1269014,-6.656784,-2.4294777,2.8309677,-5.1623163,1.0033233,11.147535,-4.3136644,11.90795,3.5571973,5.5339203,-2.7778199,-4.432005,-3.3106549,2.4926949,-8.56986,-3.4412315,-2.1576426,-5.18561,14.337934,-12.080995,-4.2932906,-2.0121093,-3.9749794,4.9002676,-0.22313952,9.396915,4.5753937,-2.4935112
13x20,8.649252,-1.4459394,-6.42189,-4.5011654,2.0607398,-5.7460136,1.444531,10.239829,-6.1082926,10.85169,2.9574795,4.9643126,-2.4464777,-2.966091,-3.5204616,4.5388155,-8.027499,-2.2736585,-2.4852085,-4.322611,14.236164,-10.732141,-6.3853245,-1.0561594,-4.041438,5.9214277,1.3239365,9.507933,4.256605,-2.5138564
13x21,8.028442,-1.0813082,-6.1539125,-4.410838,1.8755771,-5.8225536,1.409852,10.956726,-6.2445874,10.885236,2.646664,4.6917768,-2.3037076,-2.6994803,-3.5901875,4.065717,-8.085294,-1.617485,-2.3049996,-4.4416633,14.084134,-10.682323,-5.676182,-1.843925,-3.245904,5.6811595,1.2142084,9.596492,3.349,-2.202274
13x22,7.930744,-1.2416772,-6.5032125,-4.5967197,1.9912996,-5.1569686,1.4703317,11.222349,-6.1979947,10.636261,2.4124649,4.584206,-2.6770809,-2.4328256,-3.9513292,3.9149287,-7.6122656,-0.7951529,-1.5263653,-4.9493446,13.840756,-11.156961,-5.3198876,-2.4057467,-3.0585206,6.202866,1.4031845,9.42184,2.8172278,-2.0889356
13x23,7.725951,-1.7136661,-6.9309683,-4.7961082,1.6796098,-5.3257103,1.2481571,11.320063,-6.329486,10.631577,1.2379873,4.445475,-2.617844,-2.4910924,-2.9551952,3.7334616,-7.5947924,-1.2512501,-1.6055758,-6.0761113,13.262831,-11.952524,-4.758098,-2.0481179,-2.7583127,5.784616,1.165296,9.338129,2.8713355,-2.1961167
