,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
12x13,7.6999598,-9.683068,-6.2942433,2.790062,0.55508876,-1.2082522,4.0353193,15.563668,-7.907422,2.838747,0.5569262,6.1261187,-4.9032817,-0.4396841,-5.8730445,5.412764,-8.040009,-2.8409889,-6.795096,3.4680803,6.998019,-0.055341244,3.5910406,-2.2638948,-8.829516,4.3491697,4.1384125,6.446851,7.8335214,-4.24276
12x21,6.5608654,-4.973921,-4.0620556,1.6644863,5.3804426,-1.38674,5.8450294,11.632821,-9.648272,4.12477,0.24210975,6.177925,-8.305626,-0.8152939,-4.8644447,6.719902,-5.059754,0.2875681,-7.053586,0.5264543,6.35079,-5.6038446,5.2082696,-2.670062,-8.691714,1.6580584,1.0848783,5.018632,7.454866,-6.268694
12x22,5.8664637,-4.9433155,-4.643167,1.3139685,5.6734986,-1.6956834,5.7205143,11.22784,-10.498032,4.9152994,0.42528474,5.6718836,-8.600442,-0.90302867,-5.602173,6.031356,-5.475376,0.1653595,-7.2374907,1.2559342,6.013943,-5.6938496,5.568505,-3.1082993,-8.780187,1.3687918,0.33631885,4.7950187,7.828241,-6.3814363
12x23,5.6946917,-5.7202206,-4.984729,1.0362577,4.9973445,-1.5985819,5.712831,11.973177,-9.969723,5.1250224,0.8411159,5.857403,-8.113154,-0.5751664,-6.1725035,6.62557,-4.914959,-0.030891776,-7.548078,1.4313672,6.069527,-4.980696,6.155368,-3.6070485,-8.005677,1.8548943,0.17964584,4.860345,8.116108,-6.278818
12x24,6.54023,-7.6878643,-4.960332,0.73445666,5.0266743,-1.0790241,6.0268826,13.520462,-8.677629,4.441855,2.2477272,6.139223,-7.6536775,0.60173583,-6.5223293,8.586208,-4.6636963,-0.39494348,-7.5575113,0.9559337,7.621587,-2.9459846,7.292631,-2.886256,-7.396174,2.1160183,1.6603402,5.0612698,7.1680655,-5.202393
12x25,6.6108265,-8.390215,-4.577473,0.46699584,5.1456757,-0.23587006,5.6699667,14.920541,-8.12868,4.079351,1.7788808,7.0244007,-7.211817,1.0382711,-5.9249706,8.606608,-4.1834507,-0.8928249,-7.2240534,0.011409074,8.629823,-1.9121742,7.730593,-3.3085272,-6.805872,2.5387182,2.0882494,4.998579,6.894677,-4.858644
12x26,7.6058197,-9.798182,-4.2153335,1.0664839,5.2735634,0.3793652,5.634765,16.25205,-6.7212257,4.512067,1.8625908,7.174346,-6.3256,1.6737607,-5.5446997,9.757746,-4.0933533,-0.9503672,-6.9856963,-0.4682536,9.277306,-0.57277715,7.9161015,-3.0803356,-6.8496323,2.9661179,3.0476425,4.3340697,7.286887,-4.7912035
12x27,8.208877,-10.331352,-2.6652155,1.7915374,5.2590985,0.7386141,5.1245365,16.501932,-6.560721,4.562424,0.92131186,6.439673,-6.0146675,1.2291255,-4.9463825,9.675271,-3.6626334,-1.9409161,-7.1276507,-0.44581813,9.356714,-0.53162825,7.4592724,-3.309922,-7.232671,3.6834972,2.686496,4.378742,8.0354595,-5.0773807
12x28,8.604538,-10.253879,-2.49599,2.3258462,5.3674974,0.48887762,4.9823465,16.737307,-6.4958706,4.9013224,0.58449966,6.6297083,-5.9773655,1.1237319,-5.0444007,9.464755,-3.740015,-1.8387394,-7.3843,-0.3871765,9.108669,-0.8628175,7.2733154,-2.8310332,-7.2456126,3.820047,2.3785315,4.301957,8.188516,-4.8615513
12x29,9.135788,-9.354073,-1.5839894,1.5706832,4.198243,0.07145059,5.4201655,16.397118,-6.0464077,3.7875628,0.6713213,4.690941,-7.290618,0.51384884,-5.321398,9.919604,-3.2442114,-2.5715604,-7.5815167,-1.0830942,8.356524,-0.85812044,5.843091,-4.138387,-8.427321,2.8210845,-0.35971487,4.683091,8.875473,-4.5128393
13x10,7.886199,-8.478264,-4.405817,1.7007394,5.8448644,-0.7602407,5.5177813,15.3088,-6.6575336,5.190547,1.5726105,6.6733246,-7.376519,-1.5696137,-5.6801505,10.824179,-4.3936653,-3.587102,-6.489728,0.07069147,8.992651,-2.0188022,6.84043,-1.8444445,-6.312419,4.1619797,3.7573614,6.102244,6.3805456,-4.0076923
13x11,7.7889547,-8.200077,-4.143285,1.8120942,5.2848682,-0.043122083,5.011138,15.342014,-6.7708254,5.653449,1.4325938,7.2367854,-7.09625,-1.6058307,-5.6395493,10.517575,-4.3867025,-3.573999,-6.8257785,0.2937646,8.914575,-1.9521142,6.5510178,-1.4418926,-6.3520637,4.4069543,3.8780036,6.185074,6.3399596,-4.0766535
13x21,7.8620405,-2.7622664,-4.513106,3.586773,5.232458,-1.2493663,6.902288,10.854901,-8.845829,3.9408336,0.90621126,6.206128,-9.57238,-1.6471624,-4.807974,5.978656,-6.494947,0.97587955,-6.116028,-0.8748443,7.1602736,-5.597937,5.572702,-1.4311707,-8.84327,0.6789026,0.9432982,4.513693,6.1081996,-7.4042063
13x22,6.4804688,-3.6854224,-4.3787155,1.9131247,5.4544544,-1.96188,6.1865883,11.303382,-10.029192,4.300781,0.14262214,5.9593296,-8.347112,-1.5087426,-6.209577,5.4961023,-5.222435,0.5808486,-6.7400737,0.8585514,6.096181,-6.139307,5.128756,-2.5657756,-8.300495,1.3070914,-0.5378568,5.037789,7.257823,-7.265623
13x24,6.2432194,-5.2323256,-4.703702,0.75653064,4.721458,-1.0560293,5.960941,12.991861,-9.208483,4.540097,1.6343933,6.147639,-8.073925,-0.30457842,-6.7411294,7.1285686,-4.396361,-0.42140114,-6.0800047,1.0431988,7.147914,-4.081634,7.099688,-2.5659568,-7.273321,2.5105016,0.628632,5.4999638,6.9625463,-6.4885454
13x25,7.0573897,-7.1435523,-5.278111,0.5820173,4.813537,-0.37649974,5.7934623,14.864932,-7.468504,4.138443,2.76694,6.7256603,-7.651456,1.2015783,-6.6013417,8.590847,-4.18534,-1.0988187,-6.238948,0.2585787,8.909908,-1.7808243,8.4886055,-2.168884,-6.9292316,2.5072174,2.7799034,5.137059,6.366679,-5.2983522
13x26,7.368779,-8.129192,-4.3397155,0.637396,4.7586956,0.2312339,4.8897734,15.675269,-6.9229937,4.0639343,1.3506707,7.065254,-7.6509356,0.9359116,-5.1707497,8.478002,-3.9964814,-1.8984851,-6.3450556,-0.54265696,9.243804,-1.5401009,8.304371,-2.9561996,-6.9891224,2.3177094,3.0584652,4.741903,6.884723,-5.1217837
13x27,8.123974,-9.497897,-3.734593,1.0800155,4.794866,0.68377805,4.776692,16.791945,-6.0485587,4.505064,0.8859096,7.405328,-6.616599,1.1587754,-5.2299185,9.281136,-4.091476,-1.8353326,-6.8960934,-0.77492166,9.320997,-0.6738521,7.7114115,-2.934305,-7.3641024,2.8702955,2.6680522,4.3399467,7.2588987,-4.8739047
13x28,8.8018265,-9.381374,-2.299019,1.1890011,4.1450996,0.71622103,4.7783966,16.721313,-5.9716687,4.219434,0.59172434,5.9863405,-7.0464773,0.5194756,-5.338882,9.501899,-3.692424,-2.5095313,-7.3191895,-0.90869045,8.6648445,-0.7954731,6.6124253,-3.5667875,-8.12551,2.8210764,0.7491399,4.480885,8.119513,-4.790677
13x29,9.160681,-9.0922365,-1.9973931,1.7152189,3.9724548,0.31300056,4.9970345,16.60771,-5.4645166,3.87511,0.76034534,4.8547435,-7.629453,0.21651793,-5.7712607,9.682635,-3.6595318,-2.3516986,-7.60319,-1.1110297,8.463892,-0.89725167,5.855174,-3.6241913,-8.410721,2.3781524,-0.3749467,4.5873814,8.376137,-4.4383016
13x30,9.457047,-8.593514,-0.9448057,1.3411164,3.3830762,-0.5576134,6.3858347,16.435251,-5.151718,2.942598,1.2643567,3.284629,-8.685873,-0.46516448,-6.2489634,10.144416,-3.4349682,-2.8198652,-8.224053,-1.507165,7.7491994,-0.9541379,4.7053857,-4.291297,-9.256032,1.5062819,-2.6653585,4.5581493,8.396504,-3.7752218
13x9,7.487363,-9.318367,-4.6384034,1.83071,5.7683043,-1.3165357,6.175781,15.813533,-6.3390965,5.1834116,1.9346931,6.269747,-7.1216993,-2.4697146,-6.1814365,10.967597,-3.5415907,-3.6666002,-6.455703,0.16697341,9.261763,-2.2255998,6.807869,-1.6342062,-6.309469,4.343817,4.160042,5.774372,6.441633,-3.4600465
