,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
8x19,3.5213614,-4.629643,-2.490293,-5.021869,0.4637276,-4.253211,-7.775813,12.656541,1.8151448,4.786454,-2.893171,1.8024582,2.9406965,0.8354435,-11.051177,2.1838145,-0.75856984,2.99432,-0.42121077,-5.452634,5.160655,-2.3829494,-2.9952745,-0.99847823,-10.33893,2.837756,-0.1578039,3.9707325,8.223303,0.17511952
9x13,2.0446532,-5.602474,-5.2722,-4.899995,9.180104,-1.7078534,3.359232,8.067994,6.0428386,6.8840885,-5.188614,5.558133,-3.4446077,0.049122214,-9.335556,10.196829,-3.683368,4.2522492,-2.7684975,-2.2012846,1.5129073,0.3339535,0.056089044,3.6298869,-7.0418377,3.319654,0.9997466,6.734971,4.202852,-1.9905604
9x14,1.9694151,-3.821225,-5.521809,-5.3556976,8.805317,-5.453919,1.3404975,8.133734,3.3659651,4.3385673,-5.545373,6.8422956,-3.8646665,0.25259995,-7.67942,6.8717556,-5.502955,4.7102723,-3.4661489,-0.41400552,2.4152713,-2.1747801,0.57365865,2.8105807,-6.8405805,2.569597,0.7431082,5.7236547,3.427932,-2.7772682
9x15,1.923099,-2.9635336,-4.1840305,-4.9782834,8.9748745,-8.056881,0.9413713,6.86451,1.3784463,2.2765675,-5.113733,7.4042096,-4.5968533,0.7116374,-6.6092043,4.003175,-5.7123003,5.6015043,-3.1975565,1.7762454,1.8392026,-3.558542,0.77293295,1.7967945,-7.869466,0.7629078,2.164112,5.512941,3.3835669,-3.9096382
9x16,1.9444885,-3.6678162,-2.8302379,-4.270333,8.596556,-9.045368,0.6159758,6.604803,0.48301446,3.1782994,-4.535434,7.1312575,-4.7442794,1.5033444,-6.330339,1.8503672,-5.0394087,4.9570527,-4.246133,2.4302692,2.9073324,-3.7894254,1.4775697,1.9090215,-7.278824,1.2233356,3.013513,5.6402574,4.4216986,-3.8303938
9x17,3.6762817,-5.339865,0.25962284,-3.7709596,8.770853,-6.70782,1.1959409,7.6520367,-0.37112582,5.9163446,-2.5062122,7.7776895,-5.4554634,1.8890045,-9.252161,-0.27285242,-1.2671964,2.0317414,-4.1742945,3.000776,4.784736,-2.223777,1.3550171,3.0008667,-6.1321726,1.2156621,4.370425,5.2153006,6.188048,-4.2507243
9x18,4.377289,-5.5139856,-0.17405179,-4.5022297,4.40637,-4.7480803,-2.6264632,10.400476,0.23285592,6.893997,-2.957456,5.755353,-2.2711563,0.9235884,-11.097569,0.19215083,0.3962256,1.2073417,-2.5589976,-1.5351639,5.9551983,-1.500708,0.24146545,1.8544887,-6.2375097,2.2990165,2.4950802,4.8380194,7.2783337,-2.0418525
10x13,3.9848719,-6.3545704,-2.820264,-5.728836,9.471128,-3.5337038,3.8639452,8.107962,5.4976187,5.267219,-3.7854285,4.885373,-0.519688,1.8949671,-10.8668995,5.8066535,-4.085113,-0.33321968,-2.1980398,-1.4045987,1.6573455,-2.9927948,4.605794,1.5394741,-6.438904,5.6935406,0.34391734,6.8087735,4.026222,-0.034643292
10x15,2.008933,-3.1938047,-4.127788,-5.433145,8.993148,-8.773905,0.69006246,7.2763157,1.1246169,2.9230628,-3.9152486,8.153312,-4.2826777,0.94398993,-6.996898,3.0082881,-5.8905897,4.506131,-4.2452602,1.3060348,3.4297607,-3.9940746,1.0916336,1.8515517,-6.555634,1.6711612,1.2366931,5.0253005,3.1951141,-3.8021827
10x16,3.2247684,-4.9665213,-0.38555261,-4.055112,9.759508,-7.501625,2.3396013,6.748837,-0.15263242,5.175618,-2.691769,8.686289,-6.6162624,1.3153893,-8.450449,0.6395881,-2.8178797,2.4853325,-4.7657943,3.5215888,4.619782,-3.0513241,1.4977196,3.310628,-5.3361464,1.4282196,4.2706146,4.85075,4.8638816,-4.7891335
