,spot,x,y,rmse,pcc,snr,model,cvFold
24x11,24x11,24,11,0.7477237141735787,0.5578655319420204,3.886173547070806,MIST,1
24x12,24x12,24,12,1.356042757274035,0.5928621101905377,3.1657759877380376,MIST,1
24x13,24x13,24,13,0.8529504990925164,0.45094750449164767,3.7353145401242505,MIST,1
24x14,24x14,24,14,0.8308055026313389,0.48279697957655143,3.8981553795265054,MIST,1
24x15,24x15,24,15,1.282180753835524,0.4134435829119698,3.6992586786869444,MIST,1
24x16,24x16,24,16,0.8675320037435119,0.4849861261262304,3.8601819496402077,MIST,1
24x17,24x17,24,17,0.7317125842107748,0.4806575937521766,4.1085502172374975,MIST,1
24x18,24x18,24,18,1.0221789159208494,0.4420209543667971,3.6204420644928677,MIST,1
24x19,24x19,24,19,0.8840360893472474,0.5926790849027939,3.8257318726397593,MIST,1
24x20,24x20,24,20,0.8586074154295283,0.5665025820725073,3.687808742760608,MIST,1
24x21,24x21,24,21,0.8115810810071324,0.554477388933561,3.7134881096690955,MIST,1
24x22,24x22,24,22,0.7012764470696068,0.5878606646949621,3.9714145105597303,MIST,1
24x23,24x23,24,23,0.6862150040937891,0.5917910356763555,4.033251670818867,MIST,1
24x24,24x24,24,24,1.0288488021455509,0.6927851944247421,3.4060932125428853,MIST,1
24x25,24x25,24,25,0.9256812562753715,0.7096965949655496,3.607013072720707,MIST,1
25x9,25x9,25,9,0.822875365648313,0.5242326671269382,3.9329990916638993,MIST,1
25x10,25x10,25,10,0.9676901700541355,0.6128444546704916,3.6786319504666203,MIST,1
25x11,25x11,25,11,0.9608176054789069,0.5132184956934975,3.7817206520246898,MIST,1
25x12,25x12,25,12,0.8006451600517541,0.5102638228018639,3.915408931805607,MIST,1
25x13,25x13,25,13,0.8862271973529993,0.4565588887397288,3.736810249838844,MIST,1
25x14,25x14,25,14,0.8303329576498868,0.5635123792217309,3.869034358483768,MIST,1
25x15,25x15,25,15,0.7423313598072915,0.4740851745802497,3.9521818819780834,MIST,1
25x16,25x16,25,16,0.7609168590097874,0.5391280132918935,4.039076585445904,MIST,1
25x17,25x17,25,17,0.6993483385736862,0.5516147061413862,4.263956050309299,MIST,1
25x18,25x18,25,18,1.4632382528926355,0.42900209650373317,3.3279880403505966,MIST,1
25x19,25x19,25,19,0.8472006725631419,0.5788075746823488,3.987869946910361,MIST,1
25x20,25x20,25,20,1.4333548115623744,0.4337012385542077,3.2760685150844995,MIST,1
25x21,25x21,25,21,0.929188784379976,0.5371310054596292,3.5567910587616716,MIST,1
25x22,25x22,25,22,0.8122278404433169,0.5158203605132514,3.703845852348012,MIST,1
25x23,25x23,25,23,0.7984033769523836,0.5839600304965415,3.7476808785062197,MIST,1
25x24,25x24,25,24,0.6869581680765986,0.5815635238234453,3.995993483583294,MIST,1
26x11,26x11,26,11,0.7412387927544896,0.580909338617465,4.096703361421069,MIST,1
26x12,26x12,26,12,0.903690794454938,0.4145860913825685,3.6058666424512165,MIST,1
26x13,26x13,26,13,0.8742549085775466,0.5067706368464789,3.901414857853183,MIST,1
26x14,26x14,26,14,0.717089502388697,0.5424663287479339,4.1063720786738225,MIST,1
26x15,26x15,26,15,0.9374227244869971,0.40381840335961044,3.6856018189074233,MIST,1
26x16,26x16,26,16,0.9886672401416389,0.46395055914912475,3.7006605702160797,MIST,1
26x17,26x17,26,17,0.7469608696787514,0.5090198864986484,3.9644035353597276,MIST,1
26x18,26x18,26,18,1.30920442129646,0.3962991917503151,3.5432162628004638,MIST,1
26x19,26x19,26,19,0.7577848918747945,0.5444998058631308,4.073455522050558,MIST,1
26x20,26x20,26,20,0.8185260020072127,0.4490964395233914,3.8038664859135753,MIST,1
26x21,26x21,26,21,0.8326377736972573,0.5600755214204821,3.6576223193387376,MIST,1
26x22,26x22,26,22,0.7836110515606259,0.5563198411087326,3.7908325779919583,MIST,1
26x23,26x23,26,23,1.1068282043488151,0.6027062120787549,3.4719859039797267,MIST,1
27x14,27x14,27,14,0.8819109433764355,0.5346472532320029,3.7230549779476894,MIST,1
27x15,27x15,27,15,0.9739641450550999,0.4712810985741968,3.8702396601718014,MIST,1
27x17,27x17,27,17,0.7819884943177161,0.5247588624427868,4.065132117506048,MIST,1
27x18,27x18,27,18,0.7197375670512749,0.5579425726942795,4.159075921589986,MIST,1
27x19,27x19,27,19,0.8852539060079674,0.4907417160116301,3.7643074642952326,MIST,1
27x20,27x20,27,20,0.8288508661905744,0.40992261714339406,3.8498069026720043,MIST,1
27x21,27x21,27,21,1.1050585495330292,0.6095728696840541,3.35901637239978,MIST,1
27x22,27x22,27,22,0.8889167785815241,0.6617878335489289,3.7034732005116227,MIST,1
7x15,7x15,7,15,1.0622564140883457,0.6333430554102312,3.3664705446748875,MIST,2
7x16,7x16,7,16,0.853701052891095,0.5337491724479219,3.831222829006775,MIST,2
7x17,7x17,7,17,0.883363558597613,0.4593219494198688,3.8687322185488613,MIST,2
7x18,7x18,7,18,0.8841087746699746,0.47760412826605453,3.7593713981975254,MIST,2
8x13,8x13,8,13,0.9679161890371938,0.5373628450107893,3.8675766045381095,MIST,2
8x14,8x14,8,14,0.8755591626457839,0.6412651780736979,3.570160525668811,MIST,2
8x15,8x15,8,15,0.9794434811294126,0.6465611158999114,3.4519395673579534,MIST,2
8x16,8x16,8,16,0.7609543410731261,0.5544673037095013,4.000889158333,MIST,2
8x17,8x17,8,17,1.3441749190646672,0.5394160622878387,3.1718613765027315,MIST,2
8x18,8x18,8,18,1.0008001258822996,0.496364388925357,3.7295655584979848,MIST,2
8x19,8x19,8,19,0.6926431740833253,0.5257590813177133,4.175154396943842,MIST,2
9x13,9x13,9,13,1.1111366256471575,0.6614987955824259,3.2922267562508147,MIST,2
9x14,9x14,9,14,0.9394103519588849,0.736881887709467,3.543815651665726,MIST,2
9x15,9x15,9,15,0.9741126983651502,0.7090727998277452,3.523618688170384,MIST,2
9x16,9x16,9,16,0.9645257417687815,0.6278137068571296,3.428685262991353,MIST,2
9x17,9x17,9,17,1.1055991895887898,0.4612375175147559,3.689704809160505,MIST,2
9x18,9x18,9,18,1.109330506208175,0.4296415135190384,3.628527088815899,MIST,2
10x13,10x13,10,13,1.3145726398351087,0.45125328397929165,3.534844973937236,MIST,2
10x15,10x15,10,15,0.9135034470359333,0.5356337800483403,3.5796048635705175,MIST,2
10x16,10x16,10,16,0.9020615000154274,0.49842570031333455,3.6841555125011203,MIST,2
10x17,10x17,10,17,0.8124714594001737,0.4422941044573862,3.80380458802668,MIST,2
10x18,10x18,10,18,0.7323667447222553,0.4704616928433879,4.0115031596381305,MIST,2
11x12,11x12,11,12,0.7081034558563225,0.5136096729553299,4.107333324481624,MIST,2
11x13,11x13,11,13,0.9024495514824544,0.6504344636122544,3.613998583845043,MIST,2
11x14,11x14,11,14,0.807868167039714,0.6914085360640132,3.8650348574899,MIST,2
11x15,11x15,11,15,0.9536403392359496,0.7334040635178096,3.5564572856424204,MIST,2
11x16,11x16,11,16,0.9335026414820261,0.553810759436348,3.5397158123354107,MIST,2
11x17,11x17,11,17,0.9411377747076716,0.47114557826993386,3.602350539454822,MIST,2
12x12,12x12,12,12,1.1462661353808146,0.4498657839539554,3.663574702106097,MIST,2
12x13,12x13,12,13,0.8454116497539315,0.5898951292099873,3.674163510975899,MIST,2
12x14,12x14,12,14,0.7883766441642214,0.6187248722882044,3.910162251709937,MIST,2
12x15,12x15,12,15,0.7704199893410619,0.67601093818062,3.7805799504789137,MIST,2
12x16,12x16,12,16,1.134081064525128,0.7074194605715585,3.3432275921884567,MIST,2
