,spot,x,y,rmse,pcc,snr,model,cvFold
13x15,13x15,13,15,0.852302553234925,0.5567222289064131,3.6095778265228,MAGIC,4
13x16,13x16,13,16,0.9225178521997289,0.6138490731403454,3.569007584999986,MAGIC,4
13x17,13x17,13,17,1.2644241454855996,0.5499240784673259,3.1349169159201615,MAGIC,4
13x18,13x18,13,18,1.5204077216556722,0.5764579698133244,2.9146352286325756,MAGIC,4
14x7,14x7,14,7,0.9242949853504616,0.514772945663441,3.592400013276945,MAGIC,4
14x8,14x8,14,8,0.8836095294670387,0.5583824111791141,3.6257728745261097,MAGIC,4
14x9,14x9,14,9,1.052453821601022,0.5199495600887031,3.4947178453511776,MAGIC,4
14x10,14x10,14,10,0.9532227950951145,0.5552407515611865,3.5193516163059946,MAGIC,4
14x11,14x11,14,11,1.0241807575762742,0.5193529275772664,3.4708570528321125,MAGIC,4
14x12,14x12,14,12,0.9742126070222873,0.5427582496718496,3.4636633971705755,MAGIC,4
14x13,14x13,14,13,0.9001536656241385,0.5559084889812574,3.6864726919655606,MAGIC,4
14x14,14x14,14,14,0.8795831745118939,0.5795958564778303,3.6374016252812726,MAGIC,4
14x15,14x15,14,15,0.8691090272769083,0.5685774473180488,3.61922666563852,MAGIC,4
14x16,14x16,14,16,0.9276929062764683,0.660943250240676,3.5576549325876634,MAGIC,4
14x17,14x17,14,17,1.187206222968117,0.5418199549111946,3.1808602412629914,MAGIC,4
14x18,14x18,14,18,1.29568516601474,0.54217190267871,3.0305917660978894,MAGIC,4
15x5,15x5,15,5,1.1548804108315383,0.5489188294765773,3.2599500748540255,MAGIC,4
15x6,15x6,15,6,1.0845579818608668,0.5162562369729472,3.3334984601271573,MAGIC,4
15x7,15x7,15,7,0.8841632510235138,0.5626611949266325,3.602220792108576,MAGIC,4
15x8,15x8,15,8,0.9139232561667273,0.5448589846915441,3.6582926127429407,MAGIC,4
15x9,15x9,15,9,0.8604826877037863,0.6263644778216073,3.6574495666612927,MAGIC,4
15x10,15x10,15,10,0.9156994458502754,0.6587948348460166,3.5615416909739666,MAGIC,4
15x11,15x11,15,11,1.136799187212381,0.5427816531056548,3.3391245852984435,MAGIC,4
15x12,15x12,15,12,0.9340884978322026,0.5358679510998572,3.6468547010312617,MAGIC,4
15x13,15x13,15,13,0.8485685008712879,0.6318797850268945,3.6485863947798403,MAGIC,4
15x14,15x14,15,14,0.8186043996319194,0.5704862248601579,3.6993715402122405,MAGIC,4
15x15,15x15,15,15,0.9313504831415073,0.565372042424529,3.540649108511853,MAGIC,4
15x16,15x16,15,16,0.8124538271908797,0.7011317686213627,3.772566243138729,MAGIC,4
15x17,15x17,15,17,0.9915103109130115,0.5297894220580363,3.519888557253109,MAGIC,4
15x18,15x18,15,18,1.4538855329329288,0.594033263542102,2.89487925858287,MAGIC,4
16x3,16x3,16,3,1.507893811573212,0.5647047233086531,2.909269352765781,MAGIC,4
16x4,16x4,16,4,1.3700874049956655,0.5368181837038211,2.9993705526165693,MAGIC,4
16x5,16x5,16,5,0.8872803298813238,0.5490392034990759,3.6293619747310895,MAGIC,4
16x6,16x6,16,6,0.8296637124944659,0.5307567258283664,3.7400851286777144,MAGIC,4
